ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
23,23,0,0,1.10109757,0.533239899,0.181662273,-2.326347874,301.9750385,-2.053748911,329.8177625,-1.880793608,347.3592822,-1.281551566,407.4775085,-0.67448975,467.4762827,0,533.2398992,0.67448975,598.1913267,1.281551566,656.0427976,1.644853627,690.4163453,1.880793608,712.64675,2.053748911,728.8981545,2.326347874,754.4385462
23.02857143,23,0.2,0,1.100331849,0.537711045,0.181593834,-2.326347874,304.6446449,-2.053748911,332.6978783,-1.880793608,350.3731067,-1.281551566,410.955197,-0.67448975,471.4244435,0,537.7110447,0.67448975,603.1854707,1.281551566,661.5075359,1.644853627,696.1626278,1.880793608,718.5758343,2.053748911,734.9612185,2.326347874,760.7127376
23.05714286,23,0.4,0,1.099577996,0.542062523,0.181525423,-2.326347874,307.2478275,-2.053748911,335.5051695,-1.880793608,353.3100719,-1.281551566,414.3421886,-0.67448975,475.2680888,0,542.0625233,0.67448975,608.0449825,1.281551566,666.8243131,1.644853627,701.7530304,1.880793608,724.3439177,2.053748911,740.8595383,2.326347874,766.8163022
23.08571429,23,0.6,0,1.098835419,0.546300148,0.181457031,-2.326347874,309.7878224,-2.053748911,338.2431839,-1.880793608,356.1739215,-1.281551566,417.6428981,-0.67448975,479.0123011,0,546.3001484,0.67448975,612.7763953,1.281551566,672.0003027,1.644853627,707.1951064,1.880793608,729.9587992,2.053748911,746.601092,2.326347874,772.7574999
23.11428571,23,0.8,0,1.098103548,0.550429528,0.181388651,-2.326347874,312.2677557,-2.053748911,340.9153474,-1.880793608,358.9682701,-1.281551566,420.861586,-0.67448975,482.6619844,0,550.4295278,0.67448975,617.3860114,1.281551566,677.0424244,1.644853627,712.4961421,1.880793608,735.4280017,2.053748911,752.193576,2.326347874,778.5442989
23.14285714,23,1,0,1.09738183,0.554456079,0.181320272,-2.326347874,314.6906517,-2.053748911,343.524973,-1.880793608,361.6966126,-1.281551566,424.0023699,-0.67448975,486.2218769,0,554.4560794,0.67448975,621.8799186,1.281551566,681.9573624,1.644853627,717.6631758,1.880793608,740.7587928,2.053748911,757.644425,2.326347874,784.1843969
23.17142857,23,1.2,1,1.096669731,0.558385045,0.181251889,-2.326347874,317.0594401,-2.053748911,346.0752691,-1.880793608,364.362333,-1.281551566,427.0692348,-0.67448975,489.6965635,0,558.3850445,0.67448975,626.2640067,1.281551566,686.7515834,1.644853627,722.7030168,1.880793608,745.9582031,2.053748911,762.9608314,2.326347874,789.6852406
23.2,23,1.4,1,1.095966737,0.562221494,0.181183494,-2.326347874,319.376959,-2.053748911,348.5693427,-1.880793608,366.9687076,-1.281551566,430.0660378,-0.67448975,493.0904803,0,562.221494,0.67448975,630.5439729,1.281551566,691.4313425,1.644853627,727.6222518,1.880793608,751.0330334,2.053748911,768.1497529,2.326347874,795.054034
23.22857143,23,1.6,1,1.095272351,0.565970314,0.181115081,-2.326347874,321.6459468,-2.053748911,351.0101908,-1.880793608,369.5188963,-1.281551566,432.9964971,-0.67448975,496.4079027,0,565.9703145,0.67448975,634.7253073,1.281551566,696.0026675,1.644853627,732.4272277,1.880793608,755.9898376,2.053748911,773.2178942,2.326347874,800.297719
23.25714286,23,1.8,1,1.094586093,0.569636219,0.181046642,-2.326347874,323.8690482,-2.053748911,353.4007065,-1.880793608,372.0159489,-1.281551566,435.8641999,-0.67448975,499.6529551,0,569.6362188,0.67448975,638.8133048,1.281551566,700.4713713,1.644853627,737.1240657,1.880793608,760.8349358,2.053748911,778.1717212,2.326347874,805.4229906
