ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
23,23,0,0,1.18110451,0.583321174,0.172102135,-2.326347874,339.2028573,-2.053748911,369.158569,-1.880793608,387.9363225,-1.281551566,451.7949682,-0.67448975,514.8562915,0,583.3211741,0.67448975,650.3569638,1.281551566,709.6339441,1.644853627,744.6794813,1.880793608,767.279311,2.053748911,783.7696158,2.326347874,809.63397
23.02857143,23,0.2,0,1.180398247,0.588059864,0.172049504,-2.326347874,342.0822546,-2.053748911,372.2597143,-1.880793608,391.177584,-1.281551566,455.5183615,-0.67448975,519.0631512,0,588.0598643,0.67448975,655.6223851,1.281551566,715.3694669,1.644853627,750.6946702,1.880793608,773.4754882,2.053748911,790.0981581,2.326347874,816.1706218
23.05714286,23,0.4,0,1.179703583,0.592659872,0.171997224,-2.326347874,344.8815858,-2.053748911,375.2736166,-1.880793608,394.3271003,-1.281551566,459.1346843,-0.67448975,523.1477898,0,592.6598725,0.67448975,660.7329987,1.281551566,720.9359182,1.644853627,756.532353,1.880793608,779.4887197,2.053748911,796.2397853,2.326347874,822.5141325
23.08571429,23,0.6,0,1.179019938,0.597127928,0.171945273,-2.326347874,347.6047234,-2.053748911,378.2045003,-1.880793608,397.3893163,-1.281551566,462.6491291,-0.67448975,527.1161373,0,597.1279277,0.67448975,665.6963149,1.281551566,726.341498,1.644853627,762.2011372,1.880793608,785.3278754,2.053748911,802.2035591,2.326347874,828.673864
23.11428571,23,0.8,0,1.178346751,0.601470551,0.17189363,-2.326347874,350.2554254,-2.053748911,381.0564633,-1.880793608,400.3685426,-1.281551566,466.0667301,-0.67448975,530.9739409,0,601.4705507,0.67448975,670.5196107,1.281551566,731.5941513,1.644853627,767.7093626,1.880793608,791.0015496,2.053748911,807.9982591,2.326347874,834.6588869
23.14285714,23,1,0,1.177683482,0.605694045,0.171842275,-2.326347874,352.8373296,-2.053748911,383.8334709,-1.880793608,403.2689498,-1.281551566,469.3923557,-0.67448975,534.7267577,0,605.6940453,0.67448975,675.2099206,1.281551566,736.7015583,1.644853627,773.0650905,1.880793608,796.5180496,2.053748911,813.6323721,2.326347874,840.4779695
23.17142857,23,1.2,1,1.177029609,0.609804491,0.171791189,-2.326347874,355.3539493,-2.053748911,386.5393516,-1.880793608,406.094564,-1.281551566,472.6307034,-0.67448975,538.3799482,0,609.8044913,0.67448975,679.7740285,1.281551566,741.6711251,1.644853627,778.2760953,1.880793608,801.885387,2.053748911,819.1140826,2.326347874,846.1395677
23.2,23,1.4,1,1.176384626,0.61380778,0.171740354,-2.326347874,357.808693,-2.053748911,389.1778185,-1.880793608,408.8492892,-1.281551566,475.7863268,-0.67448975,541.9387072,0,613.8077801,0.67448975,684.2185076,1.281551566,746.510028,1.644853627,783.3499093,1.880793608,807.1113238,2.053748911,824.4513206,2.326347874,851.6518742
23.22857143,23,1.6,1,1.175748045,0.617709593,0.171689751,-2.326347874,360.204852,-2.053748911,391.7524558,-1.880793608,411.5368934,-1.281551566,478.8636189,-0.67448975,545.4080454,0,617.7095931,0.67448975,688.5496963,1.281551566,751.2251863,1.644853627,788.2937956,1.880793608,812.2033449,2.053748911,829.6517324,2.326347874,857.0227891
23.25714286,23,1.8,1,1.175119399,0.621515415,0.171639363,-2.326347874,362.545607,-2.053748911,394.2667264,-1.880793608,414.1610163,-1.281551566,481.8668218,-0.67448975,548.7928003,0,621.5154146,0.67448975,692.7737127,1.281551566,755.8232789,1.644853627,793.1147647,1.880793608,817.1686744,2.053748911,834.7226984,2.326347874,862.2599376
