ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
26,26,0,0,1.180921569,0.867087431,0.184227214,-2.326347874,477.1183683,-2.053748911,525.2067497,-1.880793608,555.3043374,-1.281551566,657.4444397,-0.67448975,758.0583235,0,867.087431,0.67448975,973.6834348,1.281551566,1067.84031,1.644853627,1123.470152,1.880793608,1159.331227,2.053748911,1185.491849,2.326347874,1226.514199
26.02857143,26,0.2,0,1.179534454,0.870363069,0.1843504,-2.326347874,478.7951578,-2.053748911,527.0629338,-1.880793608,557.2758594,-1.281551566,659.8229007,-0.67448975,760.8580478,0,870.3630693,0.67448975,977.4413038,1.281551566,1072.03646,1.644853627,1127.930205,1.880793608,1163.963237,2.053748911,1190.250177,2.326347874,1231.472046
26.05714286,26,0.4,0,1.178147339,0.873628795,0.184472556,-2.326347874,480.4681603,-2.053748911,528.9143971,-1.880793608,559.2421055,-1.281551566,662.1943556,-0.67448975,763.6492714,0,873.6287953,0.67448975,981.1880681,1.281551566,1076.220592,1.644853627,1132.377758,1.880793608,1168.582459,2.053748911,1194.995516,2.326347874,1236.416608
26.08571429,26,0.6,0,1.176760224,0.87688501,0.18459369,-2.326347874,482.1376066,-2.053748911,530.7613926,-1.880793608,561.2033422,-1.281551566,664.5591159,-0.67448975,766.4323489,0,876.8850095,0.67448975,984.9241724,1.281551566,1080.39319,1.644853627,1136.813319,1.880793608,1173.189414,2.053748911,1199.728399,2.326347874,1241.348433
26.11428571,26,0.8,0,1.175373109,0.880132109,0.184713809,-2.326347874,483.8037259,-2.053748911,532.6041714,-1.880793608,563.159834,-1.281551566,666.9174904,-0.67448975,769.2076317,0,880.1321088,0.67448975,988.6500577,1.281551566,1084.554734,1.644853627,1141.237389,1.880793608,1177.784619,2.053748911,1204.449353,2.326347874,1246.268066
26.14285714,26,1,0,1.173985994,0.883370487,0.18483292,-2.326347874,485.4667457,-2.053748911,534.4429824,-1.880793608,565.1118432,-1.281551566,669.2697855,-0.67448975,771.9754687,0,883.3704869,0.67448975,992.3661613,1.281551566,1088.705699,1.644853627,1145.650467,1.880793608,1182.368587,2.053748911,1209.158901,2.326347874,1251.176046
26.17142857,26,1.2,1,1.17259888,0.886600534,0.184951029,-2.326347874,487.1268915,-2.053748911,536.2780726,-1.880793608,567.0596299,-1.281551566,671.6163051,-0.67448975,774.7362055,0,886.6005345,0.67448975,996.0729172,1.281551566,1092.846558,1.644853627,1150.053047,1.880793608,1186.941827,2.053748911,1213.857563,2.326347874,1256.072911
26.2,26,1.4,1,1.171211765,0.889822639,0.185068143,-2.326347874,488.7843872,-2.053748911,538.1096872,-1.880793608,569.0034523,-1.281551566,673.9573505,-0.67448975,777.490185,0,889.8226387,0.67448975,999.7707554,1.281551566,1096.977777,1.644853627,1154.445619,1.880793608,1191.504842,2.053748911,1218.545855,2.326347874,1260.95919
26.22857143,26,1.6,1,1.16982465,0.893037184,0.185184268,-2.326347874,490.4394548,-2.053748911,539.9380692,-1.880793608,570.9435663,-1.281551566,676.2932206,-0.67448975,780.2377475,0,893.0371837,0.67448975,1003.460103,1.281551566,1101.099822,1.644853627,1158.828671,1.880793608,1196.058135,2.053748911,1223.224287,2.326347874,1265.835413
26.25714286,26,1.8,1,1.168437535,0.89624455,0.185299409,-2.326347874,492.0923148,-2.053748911,541.7634597,-1.880793608,572.8802258,-1.281551566,678.6242117,-0.67448975,782.9792299,0,896.2445501,0.67448975,1007.141382,1.281551566,1105.213153,1.644853627,1163.202683,1.880793608,1200.602201,2.053748911,1227.893365,2.326347874,1270.702101
