ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
26,26,0,0,1.082764706,0.924254916,0.170002287,-2.326347874,551.5439345,-2.053748911,596.1005817,-1.880793608,624.2266853,-1.281551566,720.8993362,-0.67448975,817.7485602,0,924.2549156,0.67448975,1029.752598,1.281551566,1123.94102,1.644853627,1179.994338,1.880793608,1216.278788,2.053748911,1242.820078,2.326347874,1284.557803
26.02857143,26,0.2,0,1.08215042,0.927300431,0.170134955,-2.326347874,553.1177851,-2.053748911,597.8445154,-1.880793608,626.0789202,-1.281551566,723.1288944,-0.67448975,820.3632594,0,927.3004315,0.67448975,1033.23155,1.281551566,1127.812033,1.644853627,1184.100782,1.880793608,1220.538425,2.053748911,1247.192155,2.326347874,1289.107336
26.05714286,26,0.4,0,1.081536134,0.930360278,0.170265545,-2.326347874,554.7034275,-2.053748911,599.6004718,-1.880793608,627.9433357,-1.281551566,725.3712391,-0.67448975,822.9914393,0,930.360278,0.67448975,1036.725754,1.281551566,1131.699179,1.644853627,1188.223905,1.880793608,1224.815106,2.053748911,1251.581547,2.326347874,1293.674616
26.08571429,26,0.6,0,1.080921849,0.933433931,0.170394123,-2.326347874,556.3004362,-2.053748911,601.3680141,-1.880793608,629.8194875,-1.281551566,727.6259005,-0.67448975,825.6326042,0,933.433931,0.67448975,1040.234656,1.281551566,1135.601877,1.644853627,1192.363115,1.880793608,1229.108227,2.053748911,1255.987642,2.326347874,1298.259022
26.11428571,26,0.8,0,1.080307563,0.936520886,0.17052075,-2.326347874,557.9084005,-2.053748911,603.1467207,-1.880793608,631.7069473,-1.281551566,729.8924264,-0.67448975,828.2862775,0,936.5208865,0.67448975,1043.757725,1.281551566,1139.519574,1.644853627,1196.517841,1.880793608,1233.41721,2.053748911,1260.409856,2.326347874,1302.859955
26.14285714,26,1,0,1.079693277,0.939620662,0.170645488,-2.326347874,559.5269254,-2.053748911,604.9361866,-1.880793608,633.6053034,-1.281551566,732.1703827,-0.67448975,830.952002,0,939.6206618,0.67448975,1047.294454,1.281551566,1143.451737,1.644853627,1200.687539,1.880793608,1237.741499,2.053748911,1264.847627,2.326347874,1307.476847
26.17142857,26,1.2,1,1.079078992,0.942732793,0.170768397,-2.326347874,561.1556297,-2.053748911,606.736021,-1.880793608,635.5141593,-1.281551566,734.4593514,-0.67448975,833.629338,0,942.732793,0.67448975,1050.844353,1.281551566,1147.397858,1.644853627,1204.871687,1.880793608,1242.080566,2.053748911,1269.300418,2.326347874,1312.10915
26.2,26,1.4,1,1.078464706,0.945856836,0.170889535,-2.326347874,562.7941466,-2.053748911,608.5458483,-1.880793608,637.4331333,-1.281551566,736.7589308,-0.67448975,836.3178635,0,945.8568356,0.67448975,1054.406956,1.281551566,1151.357448,1.644853627,1209.069783,1.880793608,1246.433902,2.053748911,1273.767716,2.326347874,1316.756341
26.22857143,26,1.6,1,1.07785042,0.948992364,0.171008958,-2.326347874,564.4421235,-2.053748911,610.3653073,-1.880793608,639.3618592,-1.281551566,739.0687362,-0.67448975,839.0171746,0,948.9923641,0.67448975,1057.981816,1.281551566,1155.330043,1.644853627,1213.281352,1.880793608,1250.801022,2.053748911,1278.249032,2.326347874,1321.417924
26.25714286,26,1.8,1,1.077236134,0.952138971,0.17112672,-2.326347874,566.0992208,-2.053748911,612.1940509,-1.880793608,641.2999846,-1.281551566,741.3883975,-0.67448975,841.7268835,0,952.1389709,0.67448975,1061.568506,1.281551566,1159.315195,1.644853627,1217.505938,1.880793608,1255.181464,2.053748911,1282.743897,2.326347874,1326.093421
26.28571429,26,2,2,1.076621849,0.955296267,0.171242876,-2.326347874,567.7651128,-2.053748911,614.0317461,-1.880793608,643.247172,-1.281551566,743.7175613,-0.67448975,844.4466199,0,955.2962674,0.67448975,1065.166618,1.281551566,1163.312483,1.644853627,1221.743106,1.880793608,1259.574787,2.053748911,1287.251867,2.326347874,1330.78238
26.31428571,26,2.2,2,1.076007563,0.958463882,0.171357476,-2.326347874,569.4394864,-2.053748911,615.878073,-1.880793608,645.2030973,-1.281551566,746.0558881,-0.67448975,847.1760293,0,958.4638815,0.67448975,1068.775764,1.281551566,1167.321501,1.644853627,1225.992443,1.880793608,1263.980573,2.053748911,1291.772518,2.326347874,1335.484372
26.34285714,26,2.4,2,1.075393277,0.961641459,0.171470572,-2.326347874,571.1220414,-2.053748911,617.7327252,-1.880793608,647.16745,-1.281551566,748.4030539,-0.67448975,849.914773,0,961.641459,0.67448975,1072.395572,1.281551566,1171.341864,1.644853627,1230.253555,1.880793608,1268.398422,2.053748911,1296.305447,2.326347874,1340.198986
26.37142857,26,2.6,2,1.074778992,0.964828662,0.171582212,-2.326347874,572.8124898,-2.053748911,619.5954092,-1.880793608,649.1399331,-1.281551566,750.7587486,-0.67448975,852.6625283,0,964.8286624,0.67448975,1076.025692,1.281551566,1175.373208,1.644853627,1234.526071,1.880793608,1272.827956,2.053748911,1300.850272,2.326347874,1344.925836
26.4,26,2.8,2,1.074164706,0.96802517,0.171692444,-2.326347874,574.5105557,-2.053748911,621.465844,-1.880793608,651.1202622,-1.281551566,753.1226764,-0.67448975,855.4189869,0,968.0251701,0.67448975,1079.665787,1.281551566,1179.415186,1.644853627,1238.809636,1.880793608,1277.268817,2.053748911,1305.406631,2.326347874,1349.664553
26.42857143,26,3,3,1.07355042,0.971230677,0.171801314,-2.326347874,576.2159751,-2.053748911,623.3437608,-1.880793608,653.1081656,-1.281551566,755.4945548,-0.67448975,858.1838559,0,971.2306768,0.67448975,1083.315541,1.281551566,1183.467468,1.644853627,1243.103914,1.880793608,1281.720665,2.053748911,1309.974182,2.326347874,1354.41479
26.45714286,26,3.2,3,1.072936134,0.974444893,0.171908866,-2.326347874,577.928496,-2.053748911,625.2289036,-1.880793608,655.1033845,-1.281551566,757.8741157,-0.67448975,860.9568572,0,974.4448935,0.67448975,1086.974654,1.281551566,1187.529746,1.644853627,1247.40859,1.880793608,1286.183181,2.053748911,1314.552602,2.326347874,1359.176222
26.48571429,26,3.4,3,1.072321849,0.977667546,0.172015145,-2.326347874,579.6478771,-2.053748911,627.1210273,-1.880793608,657.1056715,-1.281551566,760.2611031,-0.67448975,863.7377259,0,977.6675456,0.67448975,1090.64284,1.281551566,1191.601726,1.644853627,1251.723366,1.880793608,1290.656063,2.053748911,1319.141587,2.326347874,1363.948539
